test_file,test_name,vulnerability_type,use_cases,notes
test_access_control_web.py,test_web_student_cannot_create_assignment,Broken Access Control,Assignment management (create/edit/delete assignment without proper role),
test_access_control_web.py,test_web_non_member_cannot_view_course_posts,Broken Access Control,Course visibility (view a course you are not enrolled in); Cross-course resource access (use one course context to access another course’s resources),
test_access_control_web.py,test_web_submission_cannot_modify_other_students_submission,Broken Access Control,Submission modification (overwrite another student's submission); Submission access (view/download another student's submission),
test_session_web.py,test_web_logout_blocks_courses,Authentication Failures,Logout does not invalidate session (old cookie still works); Missing auth checks on some pages/actions (inconsistent protection),Asserts post-logout cannot access /courses.
test_session_web.py,test_web_unauthenticated_redirects_to_login,Authentication Failures,Missing auth checks on some pages/actions (inconsistent protection),
test_session_web.py,test_web_login_does_not_set_session_on_failed_login,Authentication Failures,Weak login error handling (user enumeration via messages),Checks failed login does not look logged-in.
test_sqli_web.py,test_web_sqli_login_does_not_bypass,Injection,(Suggested add) Login form input used in authentication query (SQLi bypass attempt),This use case is not currently in your Injection CSV row; recommend adding explicitly.
test_sqli_web.py,test_web_sqli_search_posts_union_does_not_crash_or_leak,Injection,Post search keyword (SQL injection via keyword),
test_sqli_web.py,test_web_sqli_search_posts_tautology_does_not_return_sensitive_fields,Injection,Post search keyword (SQL injection via keyword),
test_xss_web.py,test_web_stored_xss_body_is_escaped_on_detail_page,Injection,Post creation fields (stored injection into downstream renderers/templates),
test_xss_web.py,test_web_reflected_xss_keyword_is_escaped,Injection,Post search keyword (SQL injection via keyword),"Same user-controlled keyword echo; in your list it sits under Injection. If you want, we can add explicit XSS use case label."
test_xss_web.py,test_web_xss_title_is_escaped_on_list_page,Injection,Post creation fields (stored injection into downstream renderers/templates),
test_upload_web.py,test_web_upload_forbidden_for_student,Broken Access Control,(Suggested add) Resource/material upload restricted to staff roles,Your current BAC list has upload only via API; consider adding an explicit staff-only upload use case.
test_upload_web.py,test_web_upload_path_traversal_is_sanitized_and_saved_under_upload_folder,Software or Data Integrity Failures,Path traversal via filename,
test_upload_web.py,test_web_upload_rejects_empty_filename,Mishandling Exceptional Conditions,Upload errors leave temporary files accessible; Unhandled exceptions reveal stack traces/config,Primarily robustness on malformed upload; also relates to input validation.
test_global_security.py,test_global_no_server_debug_traceback_leak_on_404,Security Misconfiguration,Verbose error pages showing stack traces/paths,Also overlaps with Mishandling Exceptional Conditions (error leakage).
test_access_control_api.py,test_api_student_cannot_create_assignment,Broken Access Control,Assignment management (create/edit/delete assignment without proper role),
test_access_control_api.py,test_api_non_member_cannot_list_course_posts,Broken Access Control,Course visibility (view a course you are not enrolled in); Cross-course resource access (use one course context to access another course’s resources),
test_access_control_api.py,test_api_student_cannot_upload,Broken Access Control,(Suggested add) Resource/material upload restricted to staff roles,
test_session_api.py,test_api_unauthenticated_courses_is_denied,Authentication Failures,Missing auth checks on some pages/actions (inconsistent protection),
test_session_api.py,test_api_logout_revokes_access,Authentication Failures,Logout does not invalidate session (old cookie still works),
test_session_api.py,test_api_failed_login_does_not_grant_access,Authentication Failures,Weak login error handling (user enumeration via messages),Bad login should not create authenticated session.
test_sqli_api.py,test_api_sqli_login_does_not_bypass,Injection,(Suggested add) Login form input used in authentication query (SQLi bypass attempt),Not currently in your CSV injection use cases; recommend adding.
test_sqli_api.py,test_api_sqli_search_posts_union_does_not_crash_or_leak,Injection,Post search keyword (SQL injection via keyword),
test_sqli_api.py,test_api_sqli_search_posts_tautology_does_not_return_sensitive_fields,Injection,Post search keyword (SQL injection via keyword),
test_xss_api.py,test_api_returns_json_for_post_detail,Mishandling Exceptional Conditions,Error handling differs between HTML/API leading to inconsistent security,Validates API returns JSON (mitigates HTML rendering/XSS surfaces).
test_xss_api.py,test_api_search_returns_json_not_html,Mishandling Exceptional Conditions,Error handling differs between HTML/API leading to inconsistent security,Ensures API does not render HTML responses.
test_xss_api.py,test_api_error_is_json_not_stacktrace_html,Mishandling Exceptional Conditions,Unhandled exceptions reveal stack traces/config,Checks no Traceback in API error responses.
test_upload_api.py,test_api_upload_path_traversal_sanitized,Software or Data Integrity Failures,Path traversal via filename,
test_upload_api.py,test_api_upload_rejects_empty_filename,Mishandling Exceptional Conditions,Upload errors leave temporary files accessible,
test_upload_api.py,test_api_upload_response_is_json_when_success,Mishandling Exceptional Conditions,Error handling differs between HTML/API leading to inconsistent security,Content-type consistency for API.
